rounds,output_bit_index,seed,samples,flip_count,flip_rate,baseline_delta
13,255,1,2000,937,0.468500,-0.031500
13,255,2,2000,947,0.473500,-0.026500
13,255,3,2000,961,0.480500,-0.019500
13,255,4,2000,939,0.469500,-0.030500
13,255,5,2000,1000,0.500000,0.000000
13,255,6,2000,996,0.498000,-0.002000
13,255,7,2000,973,0.486500,-0.013500
13,255,8,2000,955,0.477500,-0.022500
13,255,9,2000,950,0.475000,-0.025000
13,255,10,2000,1001,0.500500,0.000500
13,255,11,2000,954,0.477000,-0.023000
13,255,12,2000,990,0.495000,-0.005000
13,255,13,2000,977,0.488500,-0.011500
13,255,14,2000,969,0.484500,-0.015500
13,255,15,2000,970,0.485000,-0.015000
13,255,16,2000,960,0.480000,-0.020000
13,255,17,2000,943,0.471500,-0.028500
13,255,18,2000,950,0.475000,-0.025000
13,255,19,2000,981,0.490500,-0.009500
13,255,20,2000,1005,0.502500,0.002500
