rounds,seed,samples,epochs,random_guess_baseline,majority_baseline,train_accuracy,test_accuracy,test_accuracy_minus_baseline,train_test_gap
2,1,500,4,0.5000,0.5100,1.0000,0.9700,0.4700,0.0300
2,2,500,4,0.5000,0.5300,1.0000,0.9850,0.4850,0.0150
2,3,500,4,0.5000,0.5100,1.0000,0.9550,0.4550,0.0450
2,4,500,4,0.5000,0.5150,1.0000,0.9750,0.4750,0.0250
2,5,500,4,0.5000,0.5050,1.0000,0.9750,0.4750,0.0250
4,1,500,4,0.5000,0.5100,0.6538,0.4250,-0.0750,0.2288
4,2,500,4,0.5000,0.5300,0.6675,0.4900,-0.0100,0.1775
4,3,500,4,0.5000,0.5100,0.6850,0.5650,0.0650,0.1200
4,4,500,4,0.5000,0.5150,0.6650,0.4650,-0.0350,0.2000
4,5,500,4,0.5000,0.5050,0.6875,0.5000,0.0000,0.1875
8,1,500,4,0.5000,0.5100,0.7050,0.4500,-0.0500,0.2550
8,2,500,4,0.5000,0.5300,0.6637,0.5450,0.0450,0.1187
8,3,500,4,0.5000,0.5100,0.6763,0.4750,-0.0250,0.2013
8,4,500,4,0.5000,0.5150,0.6625,0.4800,-0.0200,0.1825
8,5,500,4,0.5000,0.5050,0.6800,0.4700,-0.0300,0.2100
16,1,500,4,0.5000,0.5100,0.7200,0.5000,0.0000,0.2200
16,2,500,4,0.5000,0.5300,0.6787,0.4850,-0.0150,0.1937
16,3,500,4,0.5000,0.5100,0.7050,0.4950,-0.0050,0.2100
16,4,500,4,0.5000,0.5150,0.6650,0.5300,0.0300,0.1350
16,5,500,4,0.5000,0.5050,0.7037,0.4650,-0.0350,0.2387
2,1,500,8,0.5000,0.5100,1.0000,0.9750,0.4750,0.0250
2,2,500,8,0.5000,0.5300,1.0000,0.9850,0.4850,0.0150
2,3,500,8,0.5000,0.5100,1.0000,0.9600,0.4600,0.0400
2,4,500,8,0.5000,0.5150,1.0000,0.9800,0.4800,0.0200
2,5,500,8,0.5000,0.5050,1.0000,0.9750,0.4750,0.0250
4,1,500,8,0.5000,0.5100,0.6625,0.4550,-0.0450,0.2075
4,2,500,8,0.5000,0.5300,0.6863,0.4950,-0.0050,0.1913
4,3,500,8,0.5000,0.5100,0.6900,0.5400,0.0400,0.1500
4,4,500,8,0.5000,0.5150,0.6863,0.4850,-0.0150,0.2013
4,5,500,8,0.5000,0.5050,0.7050,0.5300,0.0300,0.1750
8,1,500,8,0.5000,0.5100,0.7125,0.5000,0.0000,0.2125
8,2,500,8,0.5000,0.5300,0.6825,0.5500,0.0500,0.1325
8,3,500,8,0.5000,0.5100,0.6787,0.4500,-0.0500,0.2287
8,4,500,8,0.5000,0.5150,0.6837,0.5150,0.0150,0.1687
8,5,500,8,0.5000,0.5050,0.6863,0.4850,-0.0150,0.2013
16,1,500,8,0.5000,0.5100,0.7113,0.5050,0.0050,0.2063
16,2,500,8,0.5000,0.5300,0.6863,0.5050,0.0050,0.1813
16,3,500,8,0.5000,0.5100,0.7262,0.5050,0.0050,0.2212
16,4,500,8,0.5000,0.5150,0.6763,0.4850,-0.0150,0.1913
16,5,500,8,0.5000,0.5050,0.6925,0.4750,-0.0250,0.2175
2,1,500,16,0.5000,0.5100,1.0000,0.9750,0.4750,0.0250
2,2,500,16,0.5000,0.5300,1.0000,0.9850,0.4850,0.0150
2,3,500,16,0.5000,0.5100,1.0000,0.9600,0.4600,0.0400
2,4,500,16,0.5000,0.5150,1.0000,0.9800,0.4800,0.0200
2,5,500,16,0.5000,0.5050,1.0000,0.9800,0.4800,0.0200
4,1,500,16,0.5000,0.5100,0.6775,0.4600,-0.0400,0.2175
4,2,500,16,0.5000,0.5300,0.6837,0.4850,-0.0150,0.1987
4,3,500,16,0.5000,0.5100,0.6937,0.5400,0.0400,0.1537
4,4,500,16,0.5000,0.5150,0.6813,0.5200,0.0200,0.1613
4,5,500,16,0.5000,0.5050,0.7037,0.5500,0.0500,0.1537
8,1,500,16,0.5000,0.5100,0.6975,0.4650,-0.0350,0.2325
8,2,500,16,0.5000,0.5300,0.6637,0.5550,0.0550,0.1087
8,3,500,16,0.5000,0.5100,0.6700,0.4700,-0.0300,0.2000
8,4,500,16,0.5000,0.5150,0.6650,0.4950,-0.0050,0.1700
8,5,500,16,0.5000,0.5050,0.6800,0.4800,-0.0200,0.2000
16,1,500,16,0.5000,0.5100,0.7250,0.4650,-0.0350,0.2600
16,2,500,16,0.5000,0.5300,0.6987,0.5050,0.0050,0.1937
16,3,500,16,0.5000,0.5100,0.7188,0.4900,-0.0100,0.2288
16,4,500,16,0.5000,0.5150,0.6775,0.5400,0.0400,0.1375
16,5,500,16,0.5000,0.5050,0.7238,0.4700,-0.0300,0.2538
2,1,1000,4,0.5000,0.5225,1.0000,1.0000,0.5000,0.0000
2,2,1000,4,0.5000,0.5175,1.0000,0.9975,0.4975,0.0025
2,3,1000,4,0.5000,0.5150,1.0000,0.9975,0.4975,0.0025
2,4,1000,4,0.5000,0.5050,1.0000,0.9950,0.4950,0.0050
2,5,1000,4,0.5000,0.5025,1.0000,0.9925,0.4925,0.0075
4,1,1000,4,0.5000,0.5225,0.6244,0.4925,-0.0075,0.1319
4,2,1000,4,0.5000,0.5175,0.5856,0.5000,0.0000,0.0856
4,3,1000,4,0.5000,0.5150,0.5900,0.5075,0.0075,0.0825
4,4,1000,4,0.5000,0.5050,0.6162,0.4750,-0.0250,0.1412
4,5,1000,4,0.5000,0.5025,0.5994,0.5050,0.0050,0.0944
8,1,1000,4,0.5000,0.5225,0.5994,0.5375,0.0375,0.0619
8,2,1000,4,0.5000,0.5175,0.5844,0.4800,-0.0200,0.1044
8,3,1000,4,0.5000,0.5150,0.5806,0.4625,-0.0375,0.1181
8,4,1000,4,0.5000,0.5050,0.5931,0.5100,0.0100,0.0831
8,5,1000,4,0.5000,0.5025,0.5913,0.5325,0.0325,0.0588
16,1,1000,4,0.5000,0.5225,0.6131,0.4975,-0.0025,0.1156
16,2,1000,4,0.5000,0.5175,0.5781,0.4875,-0.0125,0.0906
16,3,1000,4,0.5000,0.5150,0.5881,0.5050,0.0050,0.0831
16,4,1000,4,0.5000,0.5050,0.5800,0.4525,-0.0475,0.1275
16,5,1000,4,0.5000,0.5025,0.5837,0.5075,0.0075,0.0763
2,1,1000,8,0.5000,0.5225,1.0000,1.0000,0.5000,0.0000
2,2,1000,8,0.5000,0.5175,1.0000,0.9975,0.4975,0.0025
2,3,1000,8,0.5000,0.5150,1.0000,0.9975,0.4975,0.0025
2,4,1000,8,0.5000,0.5050,1.0000,0.9975,0.4975,0.0025
2,5,1000,8,0.5000,0.5025,1.0000,0.9950,0.4950,0.0050
4,1,1000,8,0.5000,0.5225,0.6175,0.4975,-0.0025,0.1200
4,2,1000,8,0.5000,0.5175,0.5931,0.5150,0.0150,0.0781
4,3,1000,8,0.5000,0.5150,0.5913,0.5350,0.0350,0.0563
4,4,1000,8,0.5000,0.5050,0.6244,0.4575,-0.0425,0.1669
4,5,1000,8,0.5000,0.5025,0.6006,0.5175,0.0175,0.0831
8,1,1000,8,0.5000,0.5225,0.5919,0.4925,-0.0075,0.0994
8,2,1000,8,0.5000,0.5175,0.5969,0.4875,-0.0125,0.1094
8,3,1000,8,0.5000,0.5150,0.5787,0.4775,-0.0225,0.1013
8,4,1000,8,0.5000,0.5050,0.5919,0.5375,0.0375,0.0544
8,5,1000,8,0.5000,0.5025,0.5956,0.5325,0.0325,0.0631
16,1,1000,8,0.5000,0.5225,0.6100,0.4900,-0.0100,0.1200
16,2,1000,8,0.5000,0.5175,0.5819,0.5075,0.0075,0.0744
16,3,1000,8,0.5000,0.5150,0.5900,0.4975,-0.0025,0.0925
16,4,1000,8,0.5000,0.5050,0.5869,0.4325,-0.0675,0.1544
16,5,1000,8,0.5000,0.5025,0.5925,0.5100,0.0100,0.0825
2,1,1000,16,0.5000,0.5225,1.0000,1.0000,0.5000,0.0000
2,2,1000,16,0.5000,0.5175,1.0000,0.9975,0.4975,0.0025
2,3,1000,16,0.5000,0.5150,1.0000,0.9975,0.4975,0.0025
2,4,1000,16,0.5000,0.5050,1.0000,0.9975,0.4975,0.0025
2,5,1000,16,0.5000,0.5025,1.0000,0.9975,0.4975,0.0025
