rounds,input_bit_index,output_bit_index,seed_count,samples_per_seed,total_samples,flip_count,baseline,flip_rate,ci_level,ci_method,ci_low,ci_high,baseline_delta,ci_contains_baseline,p_value_method,raw_p_value,seed_min_flip_rate,seed_max_flip_rate,holm_adjusted_p_value,holm_reject_baseline
13,0,255,20,500,10000,5091,0.500000,0.509100,0.950000,wilson_score,0.499300,0.518893,0.009100,True,normal_approximation_two_sided,0.070295787,0.466000,0.570000,1,False
13,1,255,20,500,10000,5044,0.500000,0.504400,0.950000,wilson_score,0.494601,0.514196,0.004400,True,normal_approximation_two_sided,0.3843004,0.468000,0.530000,1,False
13,2,255,20,500,10000,5054,0.500000,0.505400,0.950000,wilson_score,0.495601,0.515195,0.005400,True,normal_approximation_two_sided,0.28461931,0.468000,0.550000,1,False
13,3,255,20,500,10000,5007,0.500000,0.500700,0.950000,wilson_score,0.490902,0.510498,0.000700,True,normal_approximation_two_sided,0.89656643,0.458000,0.548000,1,False
13,4,255,20,500,10000,4971,0.500000,0.497100,0.950000,wilson_score,0.487303,0.506899,-0.002900,True,normal_approximation_two_sided,0.5686777,0.470000,0.524000,1,False
13,5,255,20,500,10000,4973,0.500000,0.497300,0.950000,wilson_score,0.487503,0.507099,-0.002700,True,normal_approximation_two_sided,0.59611193,0.464000,0.532000,1,False
13,6,255,20,500,10000,5025,0.500000,0.502500,0.950000,wilson_score,0.492701,0.512297,0.002500,True,normal_approximation_two_sided,0.6241339,0.458000,0.548000,1,False
13,7,255,20,500,10000,4966,0.500000,0.496600,0.950000,wilson_score,0.486804,0.506399,-0.003400,True,normal_approximation_two_sided,0.50285779,0.464000,0.536000,1,False
13,8,255,20,500,10000,5004,0.500000,0.500400,0.950000,wilson_score,0.490602,0.510198,0.000400,True,normal_approximation_two_sided,0.94419366,0.462000,0.560000,1,False
13,9,255,20,500,10000,4958,0.500000,0.495800,0.950000,wilson_score,0.486004,0.505599,-0.004200,True,normal_approximation_two_sided,0.40653878,0.474000,0.534000,1,False
13,10,255,20,500,10000,4969,0.500000,0.496900,0.950000,wilson_score,0.487103,0.506699,-0.003100,True,normal_approximation_two_sided,0.54186181,0.444000,0.556000,1,False
13,11,255,20,500,10000,5129,0.500000,0.512900,0.950000,wilson_score,0.503100,0.522690,0.012900,False,normal_approximation_two_sided,0.010169851,0.482000,0.544000,1,False
13,12,255,20,500,10000,4969,0.500000,0.496900,0.950000,wilson_score,0.487103,0.506699,-0.003100,True,normal_approximation_two_sided,0.54186181,0.468000,0.534000,1,False
13,13,255,20,500,10000,4969,0.500000,0.496900,0.950000,wilson_score,0.487103,0.506699,-0.003100,True,normal_approximation_two_sided,0.54186181,0.460000,0.542000,1,False
13,14,255,20,500,10000,4930,0.500000,0.493000,0.950000,wilson_score,0.483206,0.502800,-0.007000,True,normal_approximation_two_sided,0.16452888,0.472000,0.540000,1,False
13,15,255,20,500,10000,4968,0.500000,0.496800,0.950000,wilson_score,0.487003,0.506599,-0.003200,True,normal_approximation_two_sided,0.52869458,0.470000,0.530000,1,False
13,16,255,20,500,10000,5010,0.500000,0.501000,0.950000,wilson_score,0.491202,0.510798,0.001000,True,normal_approximation_two_sided,0.84930913,0.452000,0.528000,1,False
13,17,255,20,500,10000,5045,0.500000,0.504500,0.950000,wilson_score,0.494701,0.514296,0.004500,True,normal_approximation_two_sided,0.37346589,0.470000,0.538000,1,False
13,18,255,20,500,10000,5101,0.500000,0.510100,0.950000,wilson_score,0.500300,0.519892,0.010100,False,normal_approximation_two_sided,0.044431189,0.454000,0.550000,1,False
13,19,255,20,500,10000,5033,0.500000,0.503300,0.950000,wilson_score,0.493501,0.513096,0.003300,True,normal_approximation_two_sided,0.51569222,0.454000,0.542000,1,False
13,20,255,20,500,10000,5021,0.500000,0.502100,0.950000,wilson_score,0.492301,0.511897,0.002100,True,normal_approximation_two_sided,0.68180595,0.466000,0.534000,1,False
13,21,255,20,500,10000,4965,0.500000,0.496500,0.950000,wilson_score,0.486704,0.506299,-0.003500,True,normal_approximation_two_sided,0.49019419,0.466000,0.528000,1,False
13,22,255,20,500,10000,4981,0.500000,0.498100,0.950000,wilson_score,0.488303,0.507899,-0.001900,True,normal_approximation_two_sided,0.71138249,0.466000,0.522000,1,False
13,23,255,20,500,10000,5087,0.500000,0.508700,0.950000,wilson_score,0.498900,0.518493,0.008700,True,normal_approximation_two_sided,0.083630275,0.470000,0.534000,1,False
13,24,255,20,500,10000,5035,0.500000,0.503500,0.950000,wilson_score,0.493701,0.513296,0.003500,True,normal_approximation_two_sided,0.49019419,0.450000,0.544000,1,False
13,25,255,20,500,10000,4949,0.500000,0.494900,0.950000,wilson_score,0.485105,0.504699,-0.005100,True,normal_approximation_two_sided,0.31249529,0.450000,0.536000,1,False
13,26,255,20,500,10000,5088,0.500000,0.508800,0.950000,wilson_score,0.499000,0.518593,0.008800,True,normal_approximation_two_sided,0.080118314,0.472000,0.546000,1,False
13,27,255,20,500,10000,4996,0.500000,0.499600,0.950000,wilson_score,0.489802,0.509398,-0.000400,True,normal_approximation_two_sided,0.94419366,0.468000,0.522000,1,False
13,28,255,20,500,10000,5054,0.500000,0.505400,0.950000,wilson_score,0.495601,0.515195,0.005400,True,normal_approximation_two_sided,0.28461931,0.452000,0.542000,1,False
13,29,255,20,500,10000,4957,0.500000,0.495700,0.950000,wilson_score,0.485904,0.505499,-0.004300,True,normal_approximation_two_sided,0.39532509,0.464000,0.528000,1,False
13,30,255,20,500,10000,4958,0.500000,0.495800,0.950000,wilson_score,0.486004,0.505599,-0.004200,True,normal_approximation_two_sided,0.40653878,0.456000,0.530000,1,False
13,31,255,20,500,10000,4998,0.500000,0.499800,0.950000,wilson_score,0.490002,0.509598,-0.000200,True,normal_approximation_two_sided,0.97606705,0.472000,0.546000,1,False
13,32,255,20,500,10000,4882,0.500000,0.488200,0.950000,wilson_score,0.478409,0.498000,-0.011800,False,normal_approximation_two_sided,0.018773411,0.442000,0.534000,1,False
13,33,255,20,500,10000,5079,0.500000,0.507900,0.950000,wilson_score,0.498100,0.517694,0.007900,True,normal_approximation_two_sided,0.11641511,0.468000,0.544000,1,False
13,34,255,20,500,10000,4905,0.500000,0.490500,0.950000,wilson_score,0.480707,0.500300,-0.009500,True,normal_approximation_two_sided,0.05875796,0.458000,0.526000,1,False
13,35,255,20,500,10000,4991,0.500000,0.499100,0.950000,wilson_score,0.489302,0.508898,-0.000900,True,normal_approximation_two_sided,0.86501014,0.468000,0.522000,1,False
13,36,255,20,500,10000,4991,0.500000,0.499100,0.950000,wilson_score,0.489302,0.508898,-0.000900,True,normal_approximation_two_sided,0.86501014,0.472000,0.546000,1,False
13,37,255,20,500,10000,4991,0.500000,0.499100,0.950000,wilson_score,0.489302,0.508898,-0.000900,True,normal_approximation_two_sided,0.86501014,0.456000,0.570000,1,False
13,38,255,20,500,10000,4979,0.500000,0.497900,0.950000,wilson_score,0.488103,0.507699,-0.002100,True,normal_approximation_two_sided,0.68180595,0.472000,0.528000,1,False
13,39,255,20,500,10000,5017,0.500000,0.501700,0.950000,wilson_score,0.491901,0.511497,0.001700,True,normal_approximation_two_sided,0.74139996,0.462000,0.538000,1,False
13,40,255,20,500,10000,4965,0.500000,0.496500,0.950000,wilson_score,0.486704,0.506299,-0.003500,True,normal_approximation_two_sided,0.49019419,0.474000,0.524000,1,False
13,41,255,20,500,10000,4943,0.500000,0.494300,0.950000,wilson_score,0.484505,0.504099,-0.005700,True,normal_approximation_two_sided,0.25847622,0.460000,0.526000,1,False
13,42,255,20,500,10000,4979,0.500000,0.497900,0.950000,wilson_score,0.488103,0.507699,-0.002100,True,normal_approximation_two_sided,0.68180595,0.468000,0.524000,1,False
13,43,255,20,500,10000,5044,0.500000,0.504400,0.950000,wilson_score,0.494601,0.514196,0.004400,True,normal_approximation_two_sided,0.3843004,0.444000,0.562000,1,False
13,44,255,20,500,10000,5126,0.500000,0.512600,0.950000,wilson_score,0.502800,0.522390,0.012600,False,normal_approximation_two_sided,0.012073116,0.472000,0.552000,1,False
13,45,255,20,500,10000,4965,0.500000,0.496500,0.950000,wilson_score,0.486704,0.506299,-0.003500,True,normal_approximation_two_sided,0.49019419,0.454000,0.548000,1,False
13,46,255,20,500,10000,4996,0.500000,0.499600,0.950000,wilson_score,0.489802,0.509398,-0.000400,True,normal_approximation_two_sided,0.94419366,0.448000,0.520000,1,False
13,47,255,20,500,10000,4970,0.500000,0.497000,0.950000,wilson_score,0.487203,0.506799,-0.003000,True,normal_approximation_two_sided,0.55519065,0.450000,0.536000,1,False
