rounds,input_bit_index,output_bit_index,seed,rng_seed,samples,flip_count,flip_rate,baseline_delta
13,0,255,1,20261512,500,233,0.466000,-0.034000
13,0,255,2,20262512,500,268,0.536000,0.036000
13,0,255,3,20263512,500,273,0.546000,0.046000
13,0,255,4,20264512,500,241,0.482000,-0.018000
13,0,255,5,20265512,500,245,0.490000,-0.010000
13,0,255,6,20266512,500,253,0.506000,0.006000
13,0,255,7,20267512,500,251,0.502000,0.002000
13,0,255,8,20268512,500,285,0.570000,0.070000
13,0,255,9,20269512,500,244,0.488000,-0.012000
13,0,255,10,20270512,500,248,0.496000,-0.004000
13,0,255,11,20271512,500,257,0.514000,0.014000
13,0,255,12,20272512,500,263,0.526000,0.026000
13,0,255,13,20273512,500,251,0.502000,0.002000
13,0,255,14,20274512,500,258,0.516000,0.016000
13,0,255,15,20275512,500,246,0.492000,-0.008000
13,0,255,16,20276512,500,241,0.482000,-0.018000
13,0,255,17,20277512,500,255,0.510000,0.010000
13,0,255,18,20278512,500,258,0.516000,0.016000
13,0,255,19,20279512,500,255,0.510000,0.010000
13,0,255,20,20280512,500,266,0.532000,0.032000
13,1,255,1,20261513,500,246,0.492000,-0.008000
13,1,255,2,20262513,500,261,0.522000,0.022000
13,1,255,3,20263513,500,247,0.494000,-0.006000
13,1,255,4,20264513,500,258,0.516000,0.016000
13,1,255,5,20265513,500,261,0.522000,0.022000
13,1,255,6,20266513,500,260,0.520000,0.020000
13,1,255,7,20267513,500,245,0.490000,-0.010000
13,1,255,8,20268513,500,234,0.468000,-0.032000
13,1,255,9,20269513,500,262,0.524000,0.024000
13,1,255,10,20270513,500,256,0.512000,0.012000
13,1,255,11,20271513,500,255,0.510000,0.010000
13,1,255,12,20272513,500,247,0.494000,-0.006000
13,1,255,13,20273513,500,236,0.472000,-0.028000
13,1,255,14,20274513,500,243,0.486000,-0.014000
13,1,255,15,20275513,500,265,0.530000,0.030000
13,1,255,16,20276513,500,263,0.526000,0.026000
13,1,255,17,20277513,500,245,0.490000,-0.010000
13,1,255,18,20278513,500,255,0.510000,0.010000
13,1,255,19,20279513,500,255,0.510000,0.010000
13,1,255,20,20280513,500,250,0.500000,0.000000
13,2,255,1,20261514,500,265,0.530000,0.030000
13,2,255,2,20262514,500,247,0.494000,-0.006000
13,2,255,3,20263514,500,261,0.522000,0.022000
13,2,255,4,20264514,500,237,0.474000,-0.026000
13,2,255,5,20265514,500,256,0.512000,0.012000
13,2,255,6,20266514,500,240,0.480000,-0.020000
13,2,255,7,20267514,500,257,0.514000,0.014000
13,2,255,8,20268514,500,250,0.500000,0.000000
13,2,255,9,20269514,500,249,0.498000,-0.002000
13,2,255,10,20270514,500,275,0.550000,0.050000
13,2,255,11,20271514,500,261,0.522000,0.022000
13,2,255,12,20272514,500,256,0.512000,0.012000
13,2,255,13,20273514,500,250,0.500000,0.000000
13,2,255,14,20274514,500,264,0.528000,0.028000
13,2,255,15,20275514,500,247,0.494000,-0.006000
13,2,255,16,20276514,500,246,0.492000,-0.008000
13,2,255,17,20277514,500,244,0.488000,-0.012000
13,2,255,18,20278514,500,234,0.468000,-0.032000
13,2,255,19,20279514,500,261,0.522000,0.022000
13,2,255,20,20280514,500,254,0.508000,0.008000
13,3,255,1,20261515,500,250,0.500000,0.000000
13,3,255,2,20262515,500,257,0.514000,0.014000
13,3,255,3,20263515,500,243,0.486000,-0.014000
