rounds,output_bit_index,seed,samples,flip_count,flip_rate,baseline_delta
13,225,1,2000,988,0.494000,-0.006000
13,225,2,2000,1003,0.501500,0.001500
13,225,3,2000,968,0.484000,-0.016000
13,225,4,2000,1003,0.501500,0.001500
13,225,5,2000,978,0.489000,-0.011000
13,225,6,2000,997,0.498500,-0.001500
13,225,7,2000,983,0.491500,-0.008500
13,225,8,2000,919,0.459500,-0.040500
13,225,9,2000,992,0.496000,-0.004000
13,225,10,2000,962,0.481000,-0.019000
13,225,11,2000,948,0.474000,-0.026000
13,225,12,2000,995,0.497500,-0.002500
13,225,13,2000,976,0.488000,-0.012000
13,225,14,2000,1008,0.504000,0.004000
13,225,15,2000,973,0.486500,-0.013500
13,225,16,2000,986,0.493000,-0.007000
13,225,17,2000,969,0.484500,-0.015500
13,225,18,2000,979,0.489500,-0.010500
13,225,19,2000,996,0.498000,-0.002000
13,225,20,2000,970,0.485000,-0.015000
13,228,1,2000,964,0.482000,-0.018000
13,228,2,2000,972,0.486000,-0.014000
13,228,3,2000,983,0.491500,-0.008500
13,228,4,2000,957,0.478500,-0.021500
13,228,5,2000,989,0.494500,-0.005500
13,228,6,2000,962,0.481000,-0.019000
13,228,7,2000,977,0.488500,-0.011500
13,228,8,2000,980,0.490000,-0.010000
13,228,9,2000,968,0.484000,-0.016000
13,228,10,2000,969,0.484500,-0.015500
13,228,11,2000,975,0.487500,-0.012500
13,228,12,2000,960,0.480000,-0.020000
13,228,13,2000,969,0.484500,-0.015500
13,228,14,2000,979,0.489500,-0.010500
13,228,15,2000,1030,0.515000,0.015000
13,228,16,2000,986,0.493000,-0.007000
13,228,17,2000,992,0.496000,-0.004000
13,228,18,2000,1003,0.501500,0.001500
13,228,19,2000,1000,0.500000,0.000000
13,228,20,2000,993,0.496500,-0.003500
13,231,1,2000,948,0.474000,-0.026000
13,231,2,2000,1021,0.510500,0.010500
13,231,3,2000,986,0.493000,-0.007000
13,231,4,2000,957,0.478500,-0.021500
13,231,5,2000,997,0.498500,-0.001500
13,231,6,2000,983,0.491500,-0.008500
13,231,7,2000,991,0.495500,-0.004500
13,231,8,2000,973,0.486500,-0.013500
13,231,9,2000,958,0.479000,-0.021000
13,231,10,2000,993,0.496500,-0.003500
13,231,11,2000,968,0.484000,-0.016000
13,231,12,2000,984,0.492000,-0.008000
13,231,13,2000,976,0.488000,-0.012000
13,231,14,2000,967,0.483500,-0.016500
13,231,15,2000,976,0.488000,-0.012000
13,231,16,2000,1008,0.504000,0.004000
13,231,17,2000,1004,0.502000,0.002000
13,231,18,2000,957,0.478500,-0.021500
13,231,19,2000,943,0.471500,-0.028500
13,231,20,2000,1005,0.502500,0.002500
13,254,1,2000,995,0.497500,-0.002500
13,254,2,2000,983,0.491500,-0.008500
13,254,3,2000,949,0.474500,-0.025500
13,254,4,2000,993,0.496500,-0.003500
13,254,5,2000,991,0.495500,-0.004500
13,254,6,2000,964,0.482000,-0.018000
13,254,7,2000,991,0.495500,-0.004500
13,254,8,2000,993,0.496500,-0.003500
13,254,9,2000,988,0.494000,-0.006000
13,254,10,2000,1019,0.509500,0.009500
13,254,11,2000,968,0.484000,-0.016000
13,254,12,2000,980,0.490000,-0.010000
13,254,13,2000,971,0.485500,-0.014500
13,254,14,2000,969,0.484500,-0.015500
13,254,15,2000,925,0.462500,-0.037500
13,254,16,2000,978,0.489000,-0.011000
13,254,17,2000,952,0.476000,-0.024000
13,254,18,2000,983,0.491500,-0.008500
13,254,19,2000,999,0.499500,-0.000500
13,254,20,2000,991,0.495500,-0.004500
13,255,1,2000,937,0.468500,-0.031500
13,255,2,2000,947,0.473500,-0.026500
13,255,3,2000,961,0.480500,-0.019500
13,255,4,2000,939,0.469500,-0.030500
13,255,5,2000,1000,0.500000,0.000000
13,255,6,2000,996,0.498000,-0.002000
13,255,7,2000,973,0.486500,-0.013500
13,255,8,2000,955,0.477500,-0.022500
13,255,9,2000,950,0.475000,-0.025000
13,255,10,2000,1001,0.500500,0.000500
13,255,11,2000,954,0.477000,-0.023000
13,255,12,2000,990,0.495000,-0.005000
13,255,13,2000,977,0.488500,-0.011500
13,255,14,2000,969,0.484500,-0.015500
13,255,15,2000,970,0.485000,-0.015000
13,255,16,2000,960,0.480000,-0.020000
13,255,17,2000,943,0.471500,-0.028500
13,255,18,2000,950,0.475000,-0.025000
13,255,19,2000,981,0.490500,-0.009500
13,255,20,2000,1005,0.502500,0.002500
