rounds,input_bit_index,input_bit_mode,output_bit_j,output_bit_k,samples,joint_11_count,flip_rate_j,flip_rate_k,joint_rate_11,expected_joint_rate_independent,covariance,pearson_correlation,pearson_defined,abs_correlation
12,224,fixed,225,228,5000,169,0.033800,0.249600,0.033800,0.008436,0.02536352,0.32430150,True,0.32430150
12,224,fixed,225,231,5000,9,0.033800,0.064000,0.001800,0.002163,-0.00036320,-0.00821157,True,0.00821157
12,224,fixed,225,254,5000,0,0.033800,0.000000,0.000000,0.000000,0.00000000,,False,
12,224,fixed,225,255,5000,0,0.033800,0.000000,0.000000,0.000000,0.00000000,,False,
12,224,fixed,228,231,5000,73,0.249600,0.064000,0.014600,0.015974,-0.00137440,-0.01297527,True,0.01297527
12,224,fixed,228,254,5000,0,0.249600,0.000000,0.000000,0.000000,0.00000000,,False,
12,224,fixed,228,255,5000,0,0.249600,0.000000,0.000000,0.000000,0.00000000,,False,
12,224,fixed,231,254,5000,0,0.064000,0.000000,0.000000,0.000000,0.00000000,,False,
12,224,fixed,231,255,5000,0,0.064000,0.000000,0.000000,0.000000,0.00000000,,False,
12,224,fixed,254,255,5000,0,0.000000,0.000000,0.000000,0.000000,0.00000000,,False,
12,236,fixed,225,228,5000,487,0.155400,0.496200,0.097400,0.077109,0.02029052,0.11201719,True,0.11201719
12,236,fixed,225,231,5000,133,0.155400,0.067400,0.026600,0.010474,0.01612604,0.17754115,True,0.17754115
12,236,fixed,225,254,5000,27,0.155400,0.010200,0.005400,0.001585,0.00381492,0.10479983,True,0.10479983
12,236,fixed,225,255,5000,48,0.155400,0.019000,0.009600,0.002953,0.00664740,0.13439697,True,0.13439697
12,236,fixed,228,231,5000,169,0.496200,0.067400,0.033800,0.033444,0.00035612,0.00284093,True,0.00284093
12,236,fixed,228,254,5000,26,0.496200,0.010200,0.005200,0.005061,0.00013876,0.00276206,True,0.00276206
12,236,fixed,228,255,5000,53,0.496200,0.019000,0.010600,0.009428,0.00117220,0.01717248,True,0.01717248
12,236,fixed,231,254,5000,26,0.067400,0.010200,0.005200,0.000687,0.00451252,0.17912973,True,0.17912973
12,236,fixed,231,255,5000,50,0.067400,0.019000,0.010000,0.001281,0.00871940,0.25474029,True,0.25474029
12,236,fixed,254,255,5000,51,0.010200,0.019000,0.010200,0.000194,0.01000620,0.72943074,True,0.72943074
12,248,fixed,225,228,5000,5,0.369000,0.001600,0.001000,0.000590,0.00040960,0.02123830,True,0.02123830
12,248,fixed,225,231,5000,19,0.369000,0.006200,0.003800,0.002288,0.00151220,0.03992418,True,0.03992418
12,248,fixed,225,254,5000,1762,0.369000,0.963400,0.352400,0.355495,-0.00309460,-0.03415331,True,0.03415331
12,248,fixed,225,255,5000,165,0.369000,0.070200,0.033000,0.025904,0.00709620,0.05756184,True,0.05756184
12,248,fixed,228,231,5000,7,0.001600,0.006200,0.001400,0.000010,0.00139008,0.44308003,True,0.44308003
12,248,fixed,228,254,5000,6,0.001600,0.963400,0.001200,0.001541,-0.00034144,-0.04549443,True,0.04549443
12,248,fixed,228,255,5000,7,0.001600,0.070200,0.001400,0.000112,0.00128768,0.12610501,True,0.12610501
12,248,fixed,231,254,5000,22,0.006200,0.963400,0.004400,0.005973,-0.00157308,-0.10672388,True,0.10672388
12,248,fixed,231,255,5000,23,0.006200,0.070200,0.004600,0.000435,0.00416476,0.20767361,True,0.20767361
12,248,fixed,254,255,5000,168,0.963400,0.070200,0.033600,0.067631,-0.03403068,-0.70935468,True,0.70935468
