rounds,input_bit_mode,output_bit_j,output_bit_k,samples,joint_11_count,flip_rate_j,flip_rate_k,joint_rate_11,expected_joint_rate_independent,covariance,pearson_correlation,pearson_defined,abs_correlation,p_value_method,raw_p_value,holm_adjusted_p_value,holm_reject_independence
12,random,233,234,5000,1216,0.465600,0.470000,0.243200,0.218832,0.02436800,0.09787985,True,0.09787985,pearson_chi_square_df1_from_phi,4.4798918e-12,1.4622367e-07,True
12,random,224,225,5000,1197,0.462600,0.465800,0.239400,0.215479,0.02392092,0.09617774,True,0.09617774,pearson_chi_square_df1_from_phi,1.0404488e-11,3.3959209e-07,True
12,random,224,230,5000,1201,0.462600,0.469800,0.240200,0.217329,0.02287052,0.09190688,True,0.09190688,pearson_chi_square_df1_from_phi,8.0964367e-11,2.642515e-06,True
12,random,244,245,5000,1193,0.462600,0.467000,0.238600,0.216034,0.02256580,0.09071457,True,0.09071457,pearson_chi_square_df1_from_phi,1.4129624e-10,4.6114853e-06,True
12,random,252,253,5000,1157,0.462600,0.452200,0.231400,0.209188,0.02221228,0.08950869,True,0.08950869,pearson_chi_square_df1_from_phi,2.4640331e-10,8.0416186e-06,True
12,random,254,255,5000,1124,0.456200,0.444400,0.224800,0.202735,0.02206472,0.08915240,True,0.08915240,pearson_chi_square_df1_from_phi,2.9001069e-10,9.4644988e-06,True
12,random,241,254,5000,1175,0.466600,0.456200,0.235000,0.212863,0.02213708,0.08908903,True,0.08908903,pearson_chi_square_df1_from_phi,2.9851954e-10,9.7418865e-06,True
12,random,236,237,5000,1165,0.460600,0.458000,0.233000,0.210955,0.02204520,0.08876959,True,0.08876959,pearson_chi_square_df1_from_phi,3.4526122e-10,1.1266909e-05,True
12,random,245,246,5000,1187,0.467000,0.462400,0.237400,0.215941,0.02145920,0.08626864,True,0.08626864,pearson_chi_square_df1_from_phi,1.0599293e-09,3.4587613e-05,True
12,random,230,231,5000,1213,0.469800,0.473400,0.242600,0.222403,0.02019668,0.08104926,True,0.08104926,pearson_chi_square_df1_from_phi,9.9811869e-09,0.00032569611,True
