rounds,seed,samples,epochs,random_guess_baseline,majority_baseline,train_accuracy,test_accuracy,test_accuracy_minus_baseline,train_test_gap
9,1,2000,8,0.5000,0.5212,0.5431,0.4800,-0.0200,0.0631
9,2,2000,8,0.5000,0.5125,0.5500,0.4938,-0.0062,0.0563
9,3,2000,8,0.5000,0.5075,0.5597,0.5225,0.0225,0.0372
9,4,2000,8,0.5000,0.5112,0.5197,0.4938,-0.0062,0.0259
9,5,2000,8,0.5000,0.5050,0.5425,0.5075,0.0075,0.0350
10,1,2000,8,0.5000,0.5212,0.5366,0.5238,0.0238,0.0128
10,2,2000,8,0.5000,0.5125,0.5447,0.4788,-0.0212,0.0659
10,3,2000,8,0.5000,0.5075,0.5500,0.5325,0.0325,0.0175
10,4,2000,8,0.5000,0.5112,0.5366,0.4800,-0.0200,0.0566
10,5,2000,8,0.5000,0.5050,0.5594,0.5012,0.0012,0.0581
11,1,2000,8,0.5000,0.5212,0.5262,0.4988,-0.0012,0.0275
11,2,2000,8,0.5000,0.5125,0.5375,0.4950,-0.0050,0.0425
11,3,2000,8,0.5000,0.5075,0.5469,0.4913,-0.0087,0.0556
11,4,2000,8,0.5000,0.5112,0.5341,0.4587,-0.0413,0.0753
11,5,2000,8,0.5000,0.5050,0.5397,0.5112,0.0112,0.0284
12,1,2000,8,0.5000,0.5212,0.5347,0.5025,0.0025,0.0322
12,2,2000,8,0.5000,0.5125,0.5322,0.4913,-0.0087,0.0409
12,3,2000,8,0.5000,0.5075,0.5422,0.5025,0.0025,0.0397
12,4,2000,8,0.5000,0.5112,0.5441,0.4925,-0.0075,0.0516
12,5,2000,8,0.5000,0.5050,0.5312,0.5100,0.0100,0.0212
13,1,2000,8,0.5000,0.5212,0.5372,0.5175,0.0175,0.0197
13,2,2000,8,0.5000,0.5125,0.5397,0.5100,0.0100,0.0297
13,3,2000,8,0.5000,0.5075,0.5416,0.4900,-0.0100,0.0516
13,4,2000,8,0.5000,0.5112,0.5537,0.4825,-0.0175,0.0712
13,5,2000,8,0.5000,0.5050,0.5291,0.5088,0.0088,0.0203
14,1,2000,8,0.5000,0.5212,0.5325,0.5375,0.0375,-0.0050
14,2,2000,8,0.5000,0.5125,0.5559,0.4575,-0.0425,0.0984
14,3,2000,8,0.5000,0.5075,0.5678,0.5000,0.0000,0.0678
14,4,2000,8,0.5000,0.5112,0.5422,0.4888,-0.0112,0.0534
14,5,2000,8,0.5000,0.5050,0.5463,0.5200,0.0200,0.0262
15,1,2000,8,0.5000,0.5212,0.5459,0.5038,0.0038,0.0422
15,2,2000,8,0.5000,0.5125,0.5413,0.4650,-0.0350,0.0762
15,3,2000,8,0.5000,0.5075,0.5447,0.5112,0.0112,0.0334
15,4,2000,8,0.5000,0.5112,0.5444,0.4963,-0.0037,0.0481
15,5,2000,8,0.5000,0.5050,0.5419,0.4750,-0.0250,0.0669
32,1,2000,8,0.5000,0.5212,0.5534,0.5138,0.0138,0.0397
32,2,2000,8,0.5000,0.5125,0.5413,0.4938,-0.0062,0.0475
32,3,2000,8,0.5000,0.5075,0.5394,0.5288,0.0288,0.0106
32,4,2000,8,0.5000,0.5112,0.5475,0.5000,0.0000,0.0475
32,5,2000,8,0.5000,0.5050,0.5522,0.5150,0.0150,0.0372
